Year,State,% Good Days,% Moderate Days,% Unhealthy for Sensitive Groups Days,% Unhealthy Days,% Very Unhealthy Days,% Hazardous Days,90th Percentile AQI,Median AQI,Number With Current Asthma,Percent With Current Asthma
2014,Georgia,0.55433,0.44146,0.00412,9.00E-05,0,0,61.9375,47.78125,626931,8.3
2014,Hawaii,0.7272,0.26997,0.00213,0.0007,0,0,52.25,35.5,102093,9.2
2014,Idaho,0.78657,0.20001,0.01231,0.00111,0,0,55.1,31.8,103201,8.6
2014,Illinois,0.73987,0.25497,0.00516,0,0,0,60.17391,40.91304,898521,9.1
2014,Indiana,0.60595,0.3879,0.00593,0.00014,7.00E-05,0,64.79487,46.87179,532909,10.7
2014,Iowa,0.5978,0.39845,0.00375,0,0,0,61.63158,44.89474,201266,8.5
2014,Kansas,0.81045,0.18586,0.003,0.00069,0,0,51.58333,34,189350,8.7
2014,Kentucky,0.73016,0.26826,0.00149,9.00E-05,0,0,58.44828,41.7931,402690,11.9
2014,Louisiana,0.63644,0.35672,0.00659,0.00026,0,0,60.59091,43.72727,270261,7.7
2014,Maine,0.86437,0.13378,0.00185,0,0,0,51.18182,36,122881,11.6
2014,Maryland,0.6119,0.38328,0.00482,0,0,0,66.125,46.5625,393571,8.5
2014,Massachusetts,0.67915,0.32001,0.00084,0,0,0,58.38462,42.92308,636176,12
2014,Michigan,0.69132,0.29874,0.00979,0.00015,0,0,64.07143,42.57143,831656,10.9
2014,Minnesota,0.77563,0.22331,0.00107,0,0,0,56.85714,36.61905,350818,8.4
2014,Mississippi,0.73695,0.25808,0.0047,0.00027,0,0,54.9,41.7,166117,7.4
2014,Missouri,0.67747,0.31596,0.00657,0,0,0,63.71429,43.80952,450530,9.7
2014,Montana,0.79665,0.19723,0.00567,0.00045,0,0,54.36842,31.68421,76683,9.6
2014,Nebraska,0.83137,0.16773,0.00091,0,0,0,51.72727,30.09091,108805,7.7
2014,Nevada,0.67714,0.3087,0.01082,0.00183,0,0.00152,65.88889,42.88889,172343,8.1
2014,New Hampshire,0.75136,0.24541,0.00322,0,0,0,56.28571,40.85714,107371,10.2
2014,New Jersey,0.70065,0.29077,0.00824,0.00034,0,0,61.75,43.0625,570238,8.3
2014,New Mexico,0.81049,0.18434,0.00372,0.00081,0.00048,0.00016,52.47059,35.29412,154861,9.9
2014,New York,0.78757,0.20987,0.00237,0.00019,0,0,53.93103,38.41379,1642598,10.7
2014,North Carolina,0.66636,0.33241,0.00123,0,0,0,59.82609,44.5,592279,7.8
2014,North Dakota,0.87986,0.11768,0.00215,0,0.00032,0,51.33333,36.33333,50533,8.7
2014,Ohio,0.63718,0.35586,0.00689,7.00E-05,0,0,63.05263,44.52632,957711,10.8
2014,Oklahoma,0.71059,0.28572,0.00356,0.00012,0,0,60.77273,41.63636,284303,9.7
2014,Oregon,0.74252,0.24711,0.0078,0.00257,0,0,62.78261,34.08696,314501,10.2
2014,Pennsylvania,0.57852,0.41354,0.00765,0.00029,0,0,63.55263,47.23684,979527,9.8
2014,Puerto Rico,0.93859,0.06116,0,0,0.00025,0,40.08333,19.5,298155,10.6
2014,Rhode Island,0.78247,0.21478,0.00274,0,0,0,54.33333,40.33333,89462,10.8
2014,South Carolina,0.71361,0.28585,0.00038,0.00016,0,0,55.63158,42.10526,309409,8.3
2014,South Dakota,0.83933,0.15975,0.00092,0,0,0,53.66667,36.33333,48213,7.5
2014,Tennessee,0.68523,0.3132,0.00157,0,0,0,59.5,42.83333,448189,8.9
2014,Texas,0.66976,0.32358,0.00622,0.00045,0,0,61.67442,42.53488,1312573,6.7
2014,Utah,0.73127,0.2532,0.01425,0.00128,0,0,62.86667,42.86667,178514,8.7
2014,Vermont,0.78294,0.215,0.00205,0,0,0,57.25,33.75,56644,11.3
2014,Virginia,0.82462,0.17437,0.00093,8.00E-05,0,0,48.77143,34.45714,556765,8.6
2014,Washington,0.78565,0.20923,0.00435,0.00077,0,0,57.55172,31.58621,500993,9.3
2014,West Virginia,0.74322,0.25608,0.00069,0,0,0,57.2,39.06667,161534,11
2014,Wisconsin,0.74806,0.24223,0.00972,0,0,0,60.80769,41.07692,456134,10.3
2014,Wyoming,0.85959,0.13897,0.00115,0.00029,0,0,50.68421,35.89474,37351,8.3
2015,Alabama,0.61272,0.38361,0.00322,0.00046,0,0,60.38889,44.94444,370128,9.9
2015,Alaska,0.81099,0.16366,0.01027,0.01301,0.00205,0,57.375,26.625,50792,9.2
2015,Arizona,0.69118,0.2852,0.02066,0.00063,0.00021,0.00211,67.15385,41.38462,479791,9.3
2015,Arkansas,0.71166,0.28784,0.0005,0,0,0,58.45455,41.27273,226691,10.1
2015,California,0.47724,0.44101,0.06575,0.01443,0.00071,0.00086,86.09259,52.64815,2290491,7.7
2015,Colorado,0.78861,0.20131,0.00945,0.00044,0.00018,0,55.54839,36.09677,375709,9
2015,Connecticut,0.66339,0.29819,0.03499,0.00343,0,0,71.875,44.5,294997,10.5
2015,Delaware,0.58995,0.39817,0.01096,0.00091,0,0,71.66667,47,67950,9.2
2015,Florida,0.78285,0.21673,0.00042,0,0,0,53.12821,38.84615,1197036,7.4
2015,Georgia,0.64142,0.35531,0.00281,0.00034,0.00011,0,58.96875,44.25,708933,9.2
2015,Hawaii,0.65472,0.34528,0,0,0,0,56,38,111142,10
