Year,State,% Good Days,% Moderate Days,% Unhealthy for Sensitive Groups Days,% Unhealthy Days,% Very Unhealthy Days,% Hazardous Days,% Ozone Days,% PM2.5 Days,90th Percentile AQI,Median AQI
2019,South Carolina,0.778,0.21997,0.00204,0.0,0.0,0.0,0.43088,0.50702,53.66667,38.22222
2019,South Dakota,0.86649,0.13076,0.00275,0.0,0.0,0.0,0.50451,0.41945,52.4,33.5
2019,Tennessee,0.72048,0.27819,0.00133,0.0,0.0,0.0,0.43052,0.56733,57.65217,41.21739
2019,Texas,0.69669,0.29381,0.00882,0.0006,7e-05,0.0,0.54111,0.45461,60.39024,42.21951
2019,Utah,0.71339,0.27101,0.01322,0.00164,0.00073,0.0,0.75806,0.21238,63.33333,43.93333
2019,Vermont,0.87499,0.12501,0.0,0.0,0.0,0.0,0.41918,0.57945,47.0,31.75
2019,Virgin Islands,0.80122,0.19878,0.0,0.0,0.0,0.0,0.0,1.0,59.66667,28.33333
2019,Virginia,0.8764,0.12325,0.00035,0.0,0.0,0.0,0.51542,0.28232,47.1875,34.46875
2019,Washington,0.79282,0.20558,0.00159,0.0,0.0,0.0,0.09531,0.88559,55.96774,31.03226
2019,West Virginia,0.81663,0.18266,0.00071,0.0,0.0,0.0,0.56474,0.37414,54.35714,38.78571
2019,Wisconsin,0.81413,0.18354,0.00233,0.0,0.0,0.0,0.65189,0.3474,55.74074,38.55556
2019,Wyoming,0.86255,0.13364,0.00336,0.00046,0.0,0.0,0.80734,0.0319,52.38889,38.94444
2014,Alabama,0.72066,0.27647,0.00288,0.0,0.0,0.0,0.55571,0.43433,58.94444,41.77778
2014,Alaska,0.79779,0.1677,0.01613,0.01633,0.00205,0.0,0.17302,0.71657,62.0,27.0
2014,Arizona,0.61769,0.34353,0.02993,0.00485,0.00148,0.00253,0.52299,0.16233,73.46154,44.61538
2014,Arkansas,0.68941,0.30984,0.00075,0.0,0.0,0.0,0.39524,0.59803,60.18182,42.45455
2014,California,0.47398,0.44366,0.06614,0.015,0.00056,0.00066,0.47223,0.489,86.01852,52.51852
2014,Colorado,0.78155,0.20924,0.00847,0.00065,9e-05,0.0,0.61697,0.13824,57.33333,37.23333
2014,Connecticut,0.64306,0.33071,0.02485,0.00137,0.0,0.0,0.5976,0.39863,69.875,45.125
2014,Country Of Mexico,0.5985,0.27405,0.07843,0.04902,0.0,0.0,0.35981,0.0,93.0,48.0
2014,Delaware,0.52021,0.46791,0.01096,0.00091,0.0,0.0,0.40679,0.59138,69.66667,49.66667
2014,District Of Columbia,0.39726,0.59178,0.01096,0.0,0.0,0.0,0.32055,0.66575,71.0,53.0
2014,Florida,0.72947,0.26798,0.0024,0.00015,0.0,0.0,0.50769,0.46386,55.48718,40.79487
2014,Georgia,0.55433,0.44146,0.00412,9e-05,0.0,0.0,0.29703,0.69127,61.9375,47.78125
2014,Hawaii,0.7272,0.26997,0.00213,0.0007,0.0,0.0,0.10167,0.86776,52.25,35.5
2014,Idaho,0.78657,0.20001,0.01231,0.00111,0.0,0.0,0.16679,0.61376,55.1,31.8
2014,Illinois,0.73987,0.25497,0.00516,0.0,0.0,0.0,0.74638,0.24587,60.17391,40.91304
2014,Indiana,0.60595,0.3879,0.00593,0.00014,7e-05,0.0,0.48951,0.49641,64.79487,46.87179
2014,Iowa,0.5978,0.39845,0.00375,0.0,0.0,0.0,0.27366,0.65515,61.63158,44.89474
2014,Kansas,0.81045,0.18586,0.003,0.00069,0.0,0.0,0.5883,0.22148,51.58333,34.0
2014,Kentucky,0.73016,0.26826,0.00149,9e-05,0.0,0.0,0.61411,0.34065,58.44828,41.7931
2014,Louisiana,0.63644,0.35672,0.00659,0.00026,0.0,0.0,0.45333,0.53744,60.59091,43.72727
2014,Maine,0.86437,0.13378,0.00185,0.0,0.0,0.0,0.72548,0.24568,51.18182,36.0
2014,Maryland,0.6119,0.38328,0.00482,0.0,0.0,0.0,0.5377,0.44696,66.125,46.5625
2014,Massachusetts,0.67915,0.32001,0.00084,0.0,0.0,0.0,0.50005,0.49321,58.38462,42.92308
2014,Michigan,0.69132,0.29874,0.00979,0.00015,0.0,0.0,0.54647,0.45177,64.07143,42.57143
2014,Minnesota,0.77563,0.22331,0.00107,0.0,0.0,0.0,0.35903,0.61344,56.85714,36.61905
2014,Mississippi,0.73695,0.25808,0.0047,0.00027,0.0,0.0,0.61215,0.35434,54.9,41.7
2014,Missouri,0.67747,0.31596,0.00657,0.0,0.0,0.0,0.55565,0.40463,63.71429,43.80952
2014,Montana,0.79665,0.19723,0.00567,0.00045,0.0,0.0,0.24699,0.68679,54.36842,31.68421
2014,Nebraska,0.83137,0.16773,0.00091,0.0,0.0,0.0,0.17965,0.63405,51.72727,30.09091
2014,Nevada,0.67714,0.3087,0.01082,0.00183,0.0,0.00152,0.56001,0.25165,65.88889,42.88889
2014,New Hampshire,0.75136,0.24541,0.00322,0.0,0.0,0.0,0.6237,0.3763,56.28571,40.85714
2014,New Jersey,0.70065,0.29077,0.00824,0.00034,0.0,0.0,0.54117,0.36876,61.75,43.0625
